Age,Annual_Income,Loan_Amount,Debt,Credit_History,Payment_History,Employment_Years,Creditworthy
24,82455,20107,10875,Good,On-Time,3.4,1
51,49445,6786,6509,Poor,On-Time,7.6,0
47,62996,32624,32697,Good,On-Time,3.4,1
38,15000,26092,11192,Average,Frequent Late,3.3,0
38,29560,18954,25907,Good,On-Time,7.7,1
55,48537,1000,10239,Good,On-Time,5.4,1
24,31413,8166,14334,Average,On-Time,0.0,0
48,70717,24878,108,Good,On-Time,0.2,1
29,98941,30129,7976,Poor,Frequent Late,1.4,0
24,29114,29092,13895,Good,Frequent Late,2.5,0
42,36576,2080,26274,Poor,Frequent Late,7.7,0
60,60180,21016,13998,Good,On-Time,6.9,1
50,90445,28155,24453,Poor,On-Time,10.3,0
51,28108,1417,17767,Average,Occasional Late,9.0,0
49,60479,17921,26647,Good,On-Time,10.3,1
52,95069,20738,11469,Good,Occasional Late,8.4,0
41,18661,14992,33512,Good,On-Time,6.8,1
26,26816,1000,7631,Average,On-Time,10.4,1
54,45681,14743,5102,Average,Occasional Late,9.7,0
39,43547,14727,1110,Good,On-Time,7.5,1
41,72877,16519,32979,Good,Frequent Late,11.1,1
35,60317,12365,19375,Average,On-Time,0.0,0
28,15951,13570,8993,Average,On-Time,4.8,0
58,66339,17603,23241,Average,On-Time,4.8,1
52,42294,22425,18189,Good,On-Time,10.6,1
46,83038,14956,29695,Average,On-Time,12.3,1
37,41193,13904,0,Poor,On-Time,0.2,0
53,40994,18924,9612,Good,Occasional Late,11.6,0
42,66905,1000,7837,Good,Occasional Late,1.3,1
38,71784,22770,0,Good,On-Time,1.4,1
39,64858,17994,21543,Average,On-Time,5.1,1
30,17917,18397,9566,Good,On-Time,4.7,1
24,66837,27607,18657,Poor,Occasional Late,0.0,0
43,32245,1000,33238,Average,On-Time,8.6,1
56,60176,1000,8821,Average,On-Time,8.7,0
23,23678,20738,8210,Average,On-Time,10.2,0
55,64819,17929,13068,Good,On-Time,4.3,0
54,37255,19702,20885,Average,On-Time,5.8,0
32,26782,13379,6900,Good,On-Time,5.9,1
46,70704,24644,6321,Average,Frequent Late,12.8,0
27,60316,27326,21515,Poor,On-Time,0.0,0
51,41493,22840,15408,Average,On-Time,2.2,0
49,86926,15392,0,Poor,On-Time,6.0,0
35,45306,1000,971,Good,On-Time,1.7,1
23,55706,25692,25511,Average,On-Time,5.0,0
59,60916,30217,15617,Average,On-Time,5.5,1
38,41367,24446,5140,Average,On-Time,3.4,0
56,65365,9204,10466,Good,Occasional Late,6.3,1
48,43264,24738,12119,Good,On-Time,8.5,1
52,45944,26605,18622,Average,Frequent Late,5.1,0
51,84978,33588,0,Good,On-Time,4.2,1
28,32107,9239,4431,Average,On-Time,5.3,0
35,15000,15735,14457,Average,Frequent Late,6.0,0
39,90441,25473,11101,Poor,Occasional Late,0.0,0
40,111085,18574,17147,Good,On-Time,7.8,1
22,46084,6827,934,Poor,Occasional Late,4.2,0
42,15000,22146,15214,Good,On-Time,11.0,1
27,48169,23787,21824,Good,On-Time,8.4,1
50,48703,18880,16381,Average,Occasional Late,10.7,1
48,50822,20196,13252,Good,Occasional Late,2.0,0
57,30505,15413,11137,Good,On-Time,4.5,1
50,67750,32783,4486,Good,Occasional Late,1.0,0
35,66539,8993,11352,Good,On-Time,3.2,1
59,22123,12127,23337,Average,On-Time,11.0,1
37,70382,18110,10929,Good,Frequent Late,11.9,0
34,100159,26790,3992,Good,On-Time,1.4,1
57,58783,3026,7570,Average,On-Time,4.2,1
35,47579,4897,13808,Good,On-Time,5.7,1
24,51876,1000,8638,Average,On-Time,8.3,1
39,68536,18327,16368,Poor,On-Time,0.0,0
52,16925,6817,16706,Average,Frequent Late,0.0,0
28,58617,14154,20001,Poor,Occasional Late,8.0,0
39,46410,24614,24812,Good,Occasional Late,0.0,0
26,95652,11585,20963,Average,On-Time,4.2,1
48,51168,20313,3592,Good,On-Time,6.6,1
40,91694,15007,3868,Good,On-Time,7.7,1
34,30718,24721,11318,Average,On-Time,5.4,0
30,67920,22751,7939,Good,On-Time,4.5,1
43,62027,11081,1755,Poor,Occasional Late,9.4,0
47,35881,16313,8025,Average,Occasional Late,7.1,0
58,58903,28437,7729,Poor,On-Time,3.4,0
38,81675,21934,5953,Good,On-Time,6.2,1
27,47877,4030,9158,Good,Occasional Late,7.5,0
54,17777,24556,22606,Average,On-Time,12.9,0
46,54614,7154,13793,Good,Frequent Late,9.1,0
49,35147,32125,34246,Average,On-Time,10.9,0
24,47468,28241,13535,Average,On-Time,3.6,1
33,53205,20899,9389,Poor,On-Time,3.9,0
51,17476,19572,12037,Average,Frequent Late,5.1,0
